Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
16,Carles Aleñá\Carles-Alena,es ESP,MFFW,Getafe,23-134,1998,21,14,1276,14.2,2,2,2,0,0,1,0,0.14,0.14,0.28,0.14,0.28,1.8,1.8,1.9,3.7,0.13,0.14,0.26,0.13,0.26,Matches
17,Alfon\Alfon,es ESP,MF,Celta Vigo,22-015,1999,2,0,34,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.13,0.22,0.35,0.13,0.35,Matches
18,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,29-116,1992,26,17,1539,17.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.9,1.2,0.02,0.05,0.07,0.02,0.07,Matches
19,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,26-115,1995,22,21,1858,20.6,1,0,1,0,0,6,0,0.05,0.00,0.05,0.05,0.05,0.5,0.5,0.4,0.9,0.02,0.02,0.04,0.02,0.04,Matches
20,Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,gh GHA,DF,Getafe,19-180,2001,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
21,Jon Ander Garrido\Jon-Ander-Garrido,es ESP,MF,Cádiz,31-222,1989,22,7,765,8.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.4,0.04,0.01,0.05,0.04,0.05,Matches
22,Ángel\Angel,es ESP,GK,Granada,18-331,2002,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
23,Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Valladolid,23-069,1998,2,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
24,José Ángel\Jose-Angel,es ESP,DF,Eibar,31-256,1989,14,11,901,10.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.9,1.0,0.00,0.09,0.10,0.00,0.10,Matches
25,José Antonio Miranda\Jose-Antonio-Miranda,gq EQG,MFDF,Getafe,22-301,1998,3,0,23,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.78,0.00,0.78,0.78,0.78,Matches
26,Aritz Arambarri\Aritz-Arambarri,es ESP,DF,Real Sociedad,23-108,1998,1,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.50,0.00,0.50,0.50,0.50,Matches
27,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,25-231,1995,34,33,2983,33.1,3,0,3,0,0,11,0,0.09,0.00,0.09,0.09,0.09,2.2,2.2,2.1,4.3,0.07,0.06,0.13,0.07,0.13,Matches
28,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,29-263,1991,32,25,2336,26.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.7,1.0,0.01,0.03,0.04,0.01,0.04,Matches
29,Ronald Araújo\Ronald-Araujo,uy URU,DF,Barcelona,22-073,1999,23,15,1420,15.8,2,1,2,0,0,2,0,0.13,0.06,0.19,0.13,0.19,1.6,1.6,0.1,1.6,0.10,0.00,0.10,0.10,0.10,Matches
