Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
65,Martin Braithwaite\Martin-Braithwaite,dk DEN,FW,Barcelona,29-348,1991,12.6,220,272,80.9,2864,339,149,167,89.2,52,73,71.2,11,16,68.8,2,2.0,0.0,10,5,6,0,8,Matches
66,Darko Brašanac\Darko-Brasanac,rs SRB,MF,Osasuna,29-096,1992,10.1,229,315,72.7,3658,868,118,138,85.5,90,126,71.4,14,24,58.3,0,0.2,-0.2,6,25,7,2,27,Matches
67,Álvaro Bravo\Alvaro-Bravo,es ESP,MF,Granada,23-104,1998,0.2,8,11,72.7,126,19,4,6,66.7,4,5,80.0,0,0,,0,0.0,0.0,0,1,0,0,0,Matches
68,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Betis,38-036,1983,19.0,407,622,65.4,13413,8545,74,75,98.7,148,148,100.0,180,394,45.7,0,0.3,-0.3,3,12,0,0,0,Matches
69,Yan Brice Eteki\Yan-Brice-Eteki,cm CMR,MF,Granada,23-266,1997,13.7,267,344,77.6,4654,897,125,146,85.6,112,134,83.6,27,50,54.0,0,0.0,0.0,2,25,2,1,24,Matches
70,Juan Brunet\Juan-Brunet,ar ARG,MF,Granada,23-115,1998,0.3,5,6,83.3,59,20,4,4,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,1,Matches
71,Bryan\Bryan,es ESP,FW,Sevilla,20-097,2001,0.1,5,7,71.4,68,9,3,4,75.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
72,Bryan\Bryan,es ESP,MFFW,Eibar,20-097,2001,24.7,676,990,68.3,10941,3503,391,459,85.2,210,301,69.8,62,164,37.8,3,5.0,-2.0,48,43,51,17,86,Matches
73,Ante Budimir\Ante-Budimir,hr CRO,FW,Osasuna,29-301,1991,17.8,245,392,62.5,3336,602,149,221,67.4,68,114,59.6,12,21,57.1,0,0.6,-0.6,8,20,5,0,21,Matches
74,Esteban Burgos\Esteban-Burgos,ar ARG,DF,Eibar,29-130,1992,12.3,417,547,76.2,11228,2783,76,93,81.7,190,234,81.2,149,211,70.6,1,0.1,+0.9,2,23,0,0,27,Matches
75,Burgui\Burgui,es ESP,MF,Alavés,27-202,1993,0.2,8,9,88.9,131,45,5,5,100.0,2,2,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,1,Matches
76,Sergio Busquets\Sergio-Busquets,es ESP,MF,Barcelona,32-307,1988,27.3,2419,2638,91.7,42978,11439,1079,1146,94.2,1022,1084,94.3,260,326,79.8,5,3.6,+1.4,30,287,31,0,211,Matches
77,Erick Cabaco\Erick-Cabaco,uy URU,DF,Getafe,26-030,1995,14.7,297,439,67.7,8673,3473,65,83,78.3,114,150,76.0,114,195,58.5,0,0.0,0.0,0,38,0,0,34,Matches
78,Cala\Cala,es ESP,DF,Cádiz,31-174,1989,25.2,508,688,73.8,13594,4275,89,108,82.4,250,287,87.1,164,282,58.2,0,0.3,-0.3,4,36,2,0,24,Matches
79,Jonathan Calleri\Jonathan-Calleri,ar ARG,FW,Osasuna,27-238,1993,17.2,218,355,61.4,3399,690,115,170,67.6,81,122,66.4,12,32,37.5,2,1.3,+0.7,10,18,8,1,26,Matches
80,Dani Calvo\Dani-Calvo,es ESP,DF,Elche,27-048,1994,18.8,604,703,85.9,13052,3979,177,188,94.1,317,337,94.1,105,167,62.9,0,0.0,0.0,0,22,0,0,22,Matches
81,José Campaña\Jose-Campana,es ESP,MF,Levante,27-353,1993,8.3,387,504,76.8,6912,2652,185,216,85.6,144,173,83.2,48,92,52.2,2,1.4,+0.6,12,44,22,4,64,Matches
82,Sergio Canales\Sergio-Canales,es ESP,MFFW,Betis,30-092,1991,27.8,1478,1745,84.7,30106,5804,601,665,90.4,560,632,88.6,274,366,74.9,6,5.1,+0.9,61,111,46,11,115,Matches
83,Álex Cantero\Alex-Cantero,es ESP,FW,Levante,20-345,2000,2.4,,,,,,,,,,,,,,,0,,,,,,,,Matches
84,Ander Capa\Ander-Capa,es ESP,DF,Athletic Club,29-100,1992,23.7,915,1201,76.2,15968,6125,415,476,87.2,405,501,80.8,75,160,46.9,1,1.6,-0.6,16,58,19,5,94,Matches
85,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Villarreal,32-312,1988,12.4,648,709,91.4,11846,2765,277,292,94.9,293,310,94.5,72,95,75.8,0,0.1,-0.1,3,67,5,0,48,Matches
86,Isaac Carcelen\Isaac-Carcelen,es ESP,DF,Cádiz,28-026,1993,27.7,759,1069,71.0,15089,6965,311,362,85.9,315,412,76.5,125,253,49.4,0,0.9,-0.9,13,77,11,5,73,Matches
87,Cárdenas\Cardenas,es ESP,GK,Levante,24-052,1997,7.0,175,239,73.2,4873,2980,44,44,100.0,65,67,97.0,63,124,50.8,0,0.0,0.0,0,5,0,0,1,Matches
88,Marc Cardona\Marc-Cardona,es ESP,FWMF,Osasuna,25-315,1995,0.6,17,28,60.7,210,73,13,15,86.7,3,5,60.0,0,5,0.0,0,0.0,0.0,0,0,1,0,4,Matches
89,Diego Carlos\Diego-Carlos,br BRA,DF,Sevilla,28-065,1993,31.0,1742,1919,90.8,40632,11245,417,438,95.2,918,953,96.3,394,507,77.7,0,0.6,-0.6,6,65,1,0,50,Matches
90,Juan Carlos\Juan-Carlos,es ESP,MFFW,Huesca,30-065,1991,3.2,73,97,75.3,1180,322,40,50,80.0,26,34,76.5,6,10,60.0,1,0.3,+0.7,4,4,2,0,13,Matches
91,Yannick Carrasco\Yannick-Carrasco,be BEL,DFMF,Atlético Madrid,27-257,1993,23.2,758,1017,74.5,11810,3692,434,500,86.8,260,331,78.5,50,147,34.0,9,5.4,+3.6,42,34,41,6,89,Matches
92,Sergio Carreira\Sergio-Carreira,es ESP,DF,Celta Vigo,20-218,2000,2.9,91,118,77.1,1559,556,40,51,78.4,46,53,86.8,4,10,40.0,0,0.0,0.0,0,3,2,0,10,Matches
93,Guido Carrillo\Guido-Carrillo,ar ARG,FW,Elche,29-359,1991,11.1,226,317,71.3,3320,598,141,172,82.0,57,93,61.3,15,26,57.7,2,1.3,+0.7,10,25,3,0,26,Matches
94,Dani Carvajal\Dani-Carvajal,es ESP,DF,Real Madrid,29-128,1992,10.6,700,822,85.2,13226,3622,307,335,91.6,286,320,89.4,100,132,75.8,2,0.8,+1.2,9,29,18,5,52,Matches
95,William Carvalho\William-Carvalho,pt POR,MF,Betis,29-042,1992,13.3,810,950,85.3,15289,3536,343,381,90.0,349,389,89.7,105,156,67.3,0,0.5,-0.5,10,84,11,0,69,Matches
96,Casemiro\Casemiro,br BRA,MF,Real Madrid,29-085,1992,31.5,1605,1915,83.8,32176,7914,626,695,90.1,688,776,88.7,266,372,71.5,4,3.6,+0.4,25,149,24,0,110,Matches
97,Sofian Chakla\Sofian-Chakla,ma MAR,DF,Getafe,27-259,1993,10.0,128,207,61.8,2599,881,41,54,75.9,62,82,75.6,22,63,34.9,0,0.1,-0.1,1,9,0,0,17,Matches
98,Sofian Chakla\Sofian-Chakla,ma MAR,DF,Villarreal,27-259,1993,0.1,4,7,57.1,99,41,1,1,100.0,1,1,100.0,2,5,40.0,0,0.0,0.0,0,0,0,0,0,Matches
99,Chema\Chema,es ESP,DFMF,Getafe,29-077,1992,5.2,67,112,59.8,1699,794,18,30,60.0,29,43,67.4,19,36,52.8,0,0.1,-0.1,1,13,0,0,10,Matches
100,Denis Cheryshev\Denis-Cheryshev,ru RUS,MF,Valencia,30-144,1990,12.1,206,334,61.7,3742,1217,99,126,78.6,80,131,61.1,25,50,50.0,3,2.4,+0.6,15,20,14,5,35,Matches
101,Samuel Chukwueze\Samuel-Chukwueze,ng NGA,MFFW,Villarreal,21-362,1999,15.2,397,532,74.6,6638,1586,189,228,82.9,175,227,77.1,26,52,50.0,2,2.6,-0.6,28,16,30,6,47,Matches
102,Víctor Chust\Victor-Chust,es ESP,DF,Real Madrid,21-075,2000,1.1,65,70,92.9,1454,434,14,15,93.3,39,39,100.0,11,15,73.3,0,0.0,0.0,0,5,0,0,2,Matches
103,Cifu\Cifu,es ESP,DF,Elche,30-226,1990,5.0,162,219,74.0,2697,985,82,93,88.2,59,81,72.8,17,30,56.7,0,0.0,0.0,0,8,0,0,8,Matches
104,Alberto Cifuentes\Alberto-Cifuentes,es ESP,GK,Cádiz,41-355,1979,2.0,31,69,44.9,1673,1368,1,1,100.0,3,3,100.0,27,65,41.5,0,0.0,0.0,1,1,0,0,0,Matches
105,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Valencia,32-027,1989,9.0,171,277,61.7,5921,4054,37,37,100.0,50,50,100.0,80,186,43.0,0,0.0,0.0,0,3,0,0,0,Matches
106,Carlos Clerc\Carlos-Clerc,es ESP,DF,Levante,29-087,1992,30.6,1290,1682,76.7,22599,9552,663,743,89.2,490,603,81.3,125,275,45.5,3,3.3,-0.3,23,96,38,16,158,Matches
107,Coke\Coke,es ESP,DF,Levante,34-023,1987,9.2,349,430,81.2,6682,2484,143,162,88.3,156,178,87.6,48,74,64.9,0,0.1,-0.1,3,17,10,0,40,Matches
108,Francis Coquelin\Francis-Coquelin,fr FRA,MF,Villarreal,30-006,1991,7.9,445,507,87.8,7617,1484,222,247,89.9,181,197,91.9,34,44,77.3,0,0.5,-0.5,3,26,4,0,21,Matches
109,Iñigo Córdoba\Inigo-Cordoba,es ESP,FWMF,Athletic Club,24-067,1997,1.1,17,36,47.2,220,97,9,17,52.9,6,10,60.0,0,6,0.0,0,0.0,0.0,0,0,1,0,2,Matches
110,Iñigo Córdoba\Inigo-Cordoba,es ESP,MF,Alavés,24-067,1997,2.4,49,77,63.6,871,367,18,26,69.2,20,29,69.0,7,13,53.8,0,0.3,-0.3,3,1,4,2,5,Matches
111,Ángel Correa\Angel-Correa,ar ARG,FWMF,Atlético Madrid,26-071,1995,25.7,690,886,77.9,9897,2192,411,487,84.4,199,247,80.6,42,86,48.8,8,5.7,+2.3,34,45,33,3,67,Matches
112,Rober Correa\Rober-Correa,es ESP,DF,Eibar,28-241,1992,11.8,400,573,69.8,7670,2918,172,205,83.9,164,235,69.8,58,115,50.4,2,0.8,+1.2,7,34,9,7,27,Matches
113,Thierry Correia\Thierry-Correia,pt POR,DF,Valencia,22-071,1999,22.7,880,1155,76.2,16948,6204,365,421,86.7,376,470,80.0,124,211,58.8,1,1.3,-0.3,16,42,24,15,54,Matches
114,Diego Costa\Diego-Costa,es ESP,FW,Atlético Madrid,32-224,1988,2.3,56,73,76.7,801,77,39,48,81.3,11,15,73.3,4,4,100.0,0,0.3,-0.3,4,1,4,0,4,Matches
115,Jaume Costa\Jaume-Costa,es ESP,DFMF,Villarreal,33-062,1988,3.9,200,237,84.4,3693,1366,91,102,89.2,88,100,88.0,20,31,64.5,1,0.3,+0.7,5,9,5,1,9,Matches
116,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,29-008,1992,37.0,1046,1277,81.9,27823,14295,156,158,98.7,606,608,99.7,280,506,55.3,0,0.0,0.0,0,11,1,0,0,Matches
