Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
531,Óliver Torres\Oliver-Torres,es ESP,MFFW,Sevilla,26-190,1994,15.2,1133,6,149,693,366,31,1089,26,34,76.5,30,0,858,4143,1925,86,33,3,18,25,999,893,89.4,80,Matches
532,Pau Torres\Pau-Torres,es ESP,DF,Villarreal,24-123,1997,32.0,2260,338,1248,1146,84,19,2197,29,34,85.3,31,0,1606,10936,7086,167,33,0,14,10,1682,1657,98.5,3,Matches
533,Roberto Torres\Roberto-Torres,es ESP,MFFW,Osasuna,32-073,1989,20.0,913,26,158,432,371,48,826,23,41,56.1,26,4,571,2398,1317,58,20,2,24,17,785,601,76.6,67,Matches
534,Lucas Torró\Lucas-Torro,es ESP,MF,Osasuna,26-304,1994,16.7,847,66,202,520,152,26,842,11,15,73.3,12,0,449,1674,651,29,4,2,14,13,575,466,81.0,24,Matches
535,Manu Trigueros\Manu-Trigueros,es ESP,MF,Villarreal,29-214,1991,27.1,1842,34,316,1152,480,35,1808,20,26,76.9,21,1,1393,5613,2580,115,37,2,32,40,1661,1441,86.8,106,Matches
536,Francisco Trincão\Francisco-Trincao,pt POR,FWMF,Barcelona,21-141,1999,7.3,477,6,55,174,287,55,466,20,34,58.8,20,0,386,2405,1320,68,12,8,12,20,489,400,81.8,73,Matches
537,Kieran Trippier\Kieran-Trippier,eng ENG,DF,Atlético Madrid,30-242,1990,26.5,1987,78,528,879,665,18,1728,16,21,76.2,16,4,1192,4189,2280,93,33,2,15,15,1365,1263,92.5,87,Matches
538,Samuel Umtiti\Samuel-Umtiti,fr FRA,DF,Barcelona,27-186,1993,6.7,615,68,261,384,9,2,606,1,1,100.0,1,0,449,2209,1423,37,1,0,2,1,493,479,97.2,0,Matches
539,Enes Ünal\Enes-Unal,tr TUR,FW,Getafe,24-009,1997,13.7,527,13,25,231,291,72,512,14,23,60.9,15,0,296,1144,569,29,10,5,52,48,700,395,56.4,92,Matches
540,Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,Sevilla,32-051,1989,4.0,125,118,125,0,0,0,105,0,0,,0,0,74,219,114,0,0,0,0,0,75,75,100.0,0,Matches
541,Eugeni Valderrama\Eugeni-Valderrama,es ESP,FWMF,Huesca,26-304,1994,1.3,93,4,24,61,14,0,84,1,2,50.0,1,0,65,303,129,4,0,0,0,1,67,65,97.0,1,Matches
542,Jesús Vallejo\Jesus-Vallejo,es ESP,DF,Granada,24-134,1997,14.5,611,97,346,268,26,5,585,4,4,100.0,4,1,313,1712,983,22,2,0,5,0,349,333,95.4,1,Matches
543,Manu Vallejo\Manu-Vallejo,es ESP,FW,Valencia,24-094,1997,10.4,399,1,32,182,215,48,377,9,27,33.3,10,1,258,1255,718,41,12,8,27,25,484,276,57.0,76,Matches
544,Federico Valverde\Federico-Valverde,uy URU,MF,Real Madrid,22-301,1998,13.8,862,7,125,473,340,29,851,23,30,76.7,26,0,638,3695,2104,92,36,4,10,10,754,670,88.9,54,Matches
545,Raphaël Varane\Raphael-Varane,fr FRA,DF,Real Madrid,28-024,1993,29.2,1927,280,1019,992,68,24,1881,7,10,70.0,8,0,1280,9029,4227,93,16,0,5,3,1414,1378,97.5,6,Matches
546,Denis Vavro\Denis-Vavro,sk SVK,DF,Huesca,25-039,1996,6.0,339,30,182,169,21,2,329,1,2,50.0,1,0,194,1025,547,20,4,0,1,1,223,217,97.3,1,Matches
547,Franco Vázquez\Franco-Vazquez,ar ARG,FWMF,Sevilla,32-086,1989,1.2,97,3,13,51,36,4,96,1,2,50.0,1,1,66,186,67,2,1,0,1,4,88,73,83.0,6,Matches
548,Kevin Vázquez\Kevin-Vazquez,es ESP,DF,Celta Vigo,28-057,1993,5.3,376,18,143,179,70,1,309,1,4,25.0,1,0,190,657,299,10,3,1,4,4,207,198,95.7,4,Matches
549,Lucas Vázquez\Lucas-Vazquez,es ESP,DFFW,Real Madrid,29-322,1991,20.5,1681,54,424,717,628,77,1553,29,44,65.9,29,0,1219,5567,3152,142,31,17,38,23,1434,1253,87.4,108,Matches
550,Koke Vegas\Koke-Vegas,es ESP,GK,Levante,25-234,1995,1.0,32,27,32,0,0,0,18,0,0,,0,0,9,48,18,0,0,0,0,0,6,6,100.0,0,Matches
551,Gabriel Veiga\Gabriel-Veiga,es ESP,MFDF,Celta Vigo,18-357,2002,1.3,48,0,11,23,17,2,48,1,1,100.0,1,0,30,160,118,5,2,0,4,2,48,33,68.8,8,Matches
552,Unai Vencedor Paris\Unai-Vencedor-Paris,es ESP,MF,Athletic Club,20-185,2000,18.5,1009,40,227,680,150,6,980,9,10,90.0,10,0,648,2993,1299,45,8,0,11,10,716,670,93.6,17,Matches
553,Gonzalo Verdú\Gonzalo-Verdu,es ESP,DF,Elche,32-210,1988,32.0,1827,314,1141,748,32,17,1748,10,11,90.9,10,1,1087,5811,2967,48,1,0,4,5,1229,1204,98.0,1,Matches
554,Mikel Vesga\Mikel-Vesga,es ESP,MF,Athletic Club,27-363,1993,18.5,1068,50,235,708,187,25,1059,8,11,72.7,9,0,638,3331,1559,65,20,5,11,14,751,684,91.1,29,Matches
555,Rúben Vezo\Ruben-Vezo,pt POR,DF,Levante,27-024,1994,25.7,1597,260,905,733,88,14,1515,7,11,63.6,7,0,944,6598,3630,89,21,0,2,9,995,978,98.3,5,Matches
556,Iñigo Vicente\Inigo-Vicente,es ESP,FW,Athletic Club,23-133,1998,0.4,47,0,2,12,37,1,44,4,4,100.0,4,1,39,135,83,5,2,1,0,0,34,33,97.1,5,Matches
557,Fede Vico\Fede-Vico,es ESP,MFFW,Granada,26-319,1994,7.5,374,7,56,195,153,14,352,15,24,62.5,16,0,266,1581,835,50,15,5,11,13,330,248,75.2,42,Matches
558,Aleix Vidal\Aleix-Vidal,es ESP,DF,Sevilla,31-271,1989,5.6,490,11,115,246,156,9,430,4,6,66.7,4,0,304,1407,796,30,9,3,4,7,355,327,92.1,17,Matches
559,Nacho Vidal\Nacho-Vidal,es ESP,DF,Osasuna,26-115,1995,25.1,1281,106,440,604,304,25,1080,13,29,44.8,14,1,602,2852,1406,46,29,1,18,18,676,581,85.9,37,Matches
560,Toni Villa\Toni-Villa,es ESP,MFFW,Valladolid,26-132,1995,10.1,531,8,68,270,234,32,510,20,50,40.0,29,4,386,1913,1187,66,20,13,17,23,475,382,80.4,48,Matches
