Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
69,Yan Brice Eteki\Yan-Brice-Eteki,cm CMR,MF,Granada,23-266,1997,13.7,3,0.22,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
70,Juan Brunet\Juan-Brunet,ar ARG,MF,Granada,23-115,1998,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
71,Bryan\Bryan,es ESP,FW,Sevilla,20-097,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
72,Bryan\Bryan,es ESP,MFFW,Eibar,20-097,2001,24.7,92,3.73,61,12,13,3,2,1,8,0.32,5,1,2,0,0,0,Matches
73,Ante Budimir\Ante-Budimir,hr CRO,FW,Osasuna,29-301,1991,17.8,24,1.35,15,0,2,4,2,1,1,0.06,0,0,0,1,0,0,Matches
74,Esteban Burgos\Esteban-Burgos,ar ARG,DF,Eibar,29-130,1992,12.3,7,0.57,6,0,0,1,0,0,1,0.08,0,0,0,1,0,0,Matches
75,Burgui\Burgui,es ESP,MF,Alavés,27-202,1993,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
76,Sergio Busquets\Sergio-Busquets,es ESP,MF,Barcelona,32-307,1988,27.3,67,2.46,61,2,0,0,3,1,10,0.37,10,0,0,0,0,0,Matches
77,Erick Cabaco\Erick-Cabaco,uy URU,DF,Getafe,26-030,1995,14.7,6,0.41,4,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
78,Cala\Cala,es ESP,DF,Cádiz,31-174,1989,25.2,10,0.40,5,0,1,1,2,1,1,0.04,0,0,0,0,1,0,Matches
79,Jonathan Calleri\Jonathan-Calleri,ar ARG,FW,Osasuna,27-238,1993,17.2,24,1.40,17,0,2,3,1,1,6,0.35,4,0,1,1,0,0,Matches
80,Dani Calvo\Dani-Calvo,es ESP,DF,Elche,27-048,1994,18.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
81,José Campaña\Jose-Campana,es ESP,MF,Levante,27-353,1993,8.3,22,2.65,13,7,1,1,0,0,2,0.24,1,0,1,0,0,0,Matches
82,Sergio Canales\Sergio-Canales,es ESP,MFFW,Betis,30-092,1991,27.8,107,3.86,80,16,4,5,2,0,13,0.47,9,2,1,1,0,0,Matches
83,Álex Cantero\Alex-Cantero,es ESP,FW,Levante,20-345,2000,2.4,,,,,,,,,,,,,,,,,Matches
