Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
75,Burgui\Burgui,es ESP,MF,Alavés,27-202,1993,0.2,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,100.0,Matches
76,Sergio Busquets\Sergio-Busquets,es ESP,MF,Barcelona,32-307,1988,27.3,8,0,0,42,57,0,3,36,38,0,0,0,288,41,37,52.6,Matches
77,Erick Cabaco\Erick-Cabaco,uy URU,DF,Getafe,26-030,1995,14.7,9,0,0,24,20,1,3,12,17,0,0,0,140,52,19,73.2,Matches
78,Cala\Cala,es ESP,DF,Cádiz,31-174,1989,25.2,8,0,0,32,31,1,0,23,23,1,1,0,213,59,38,60.8,Matches
79,Jonathan Calleri\Jonathan-Calleri,ar ARG,FW,Osasuna,27-238,1993,17.2,4,0,0,42,39,16,14,5,6,0,0,0,73,86,91,48.6,Matches
80,Dani Calvo\Dani-Calvo,es ESP,DF,Elche,27-048,1994,18.8,3,0,0,19,14,2,1,17,13,0,1,0,108,46,38,54.8,Matches
81,José Campaña\Jose-Campana,es ESP,MF,Levante,27-353,1993,8.3,0,0,0,7,13,1,16,8,8,0,0,0,76,6,8,42.9,Matches
82,Sergio Canales\Sergio-Canales,es ESP,MFFW,Betis,30-092,1991,27.8,4,0,0,15,22,2,46,14,11,0,0,0,185,12,28,30.0,Matches
83,Álex Cantero\Alex-Cantero,es ESP,FW,Levante,20-345,2000,2.4,1,0,0,3,1,1,1,0,0,,,0,,,,,Matches
84,Ander Capa\Ander-Capa,es ESP,DF,Athletic Club,29-100,1992,23.7,5,0,0,26,9,1,54,30,23,0,1,0,214,23,22,51.1,Matches
85,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Villarreal,32-312,1988,12.4,5,1,0,25,21,0,0,21,14,0,2,0,104,29,9,76.3,Matches
86,Isaac Carcelen\Isaac-Carcelen,es ESP,DF,Cádiz,28-026,1993,27.7,3,0,0,17,48,0,33,49,40,0,3,0,266,33,31,51.6,Matches
87,Cárdenas\Cardenas,es ESP,GK,Levante,24-052,1997,7.0,1,0,0,0,0,0,0,0,0,0,0,0,35,0,0,,Matches
88,Marc Cardona\Marc-Cardona,es ESP,FWMF,Osasuna,25-315,1995,0.6,0,0,0,3,1,1,1,0,0,0,0,0,7,0,2,0.0,Matches
89,Diego Carlos\Diego-Carlos,br BRA,DF,Sevilla,28-065,1993,31.0,11,1,1,49,19,0,3,26,20,0,2,1,241,62,45,57.9,Matches
90,Juan Carlos\Juan-Carlos,es ESP,MFFW,Huesca,30-065,1991,3.2,0,0,0,13,7,0,2,3,3,0,0,0,24,5,5,50.0,Matches
