Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
41,Alex Baena\Alex-Baena,es ESP,MF,Villarreal,19-303,2001,1.5,0,2,1,50.0,1.31,0.66,0.00,0.00,24.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
42,Miguel Baeza\Miguel-Baeza,es ESP,MFFW,Celta Vigo,21-053,2000,5.9,1,11,2,18.2,1.85,0.34,0.09,0.50,14.1,0,0,0,1.5,1.5,0.16,-0.5,-0.5,Matches
43,Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,33-079,1988,17.8,0,3,1,33.3,0.17,0.06,0.00,0.00,30.5,1,0,0,0.0,0.0,0.02,0.0,0.0,Matches
44,Barcia\Barcia,es ESP,DF,Granada,20-139,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
45,Enis Bardhi\Enis-Bardhi,mk MKD,MF,Levante,25-321,1995,18.0,1,34,12,35.3,1.89,0.67,0.03,0.08,20.3,5,0,0,2.6,2.6,0.08,-1.6,-1.6,Matches
46,Kike Barja\Kike-Barja,es ESP,MFFW,Osasuna,24-048,1997,15.0,2,20,11,55.0,1.33,0.73,0.10,0.18,16.2,0,0,0,1.8,1.8,0.09,+0.2,+0.2,Matches
47,Marc Baró\Marc-Baro,es ESP,DF,Cádiz,21-269,1999,1.0,0,1,1,100.0,1.00,1.00,0.00,0.00,23.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
48,Antonio Barragán\Antonio-Barragan,es ESP,DF,Elche,33-341,1987,23.8,0,5,0,0.0,0.21,0.00,0.00,,12.6,0,0,0,0.6,0.6,0.12,-0.6,-0.6,Matches
49,Ander Barrenetxea\Ander-Barrenetxea,es ESP,MFFW,Real Sociedad,19-143,2001,14.4,3,23,7,30.4,1.59,0.49,0.13,0.43,19.0,0,0,0,1.8,1.8,0.08,+1.2,+1.2,Matches
50,Marc Bartra\Marc-Bartra,es ESP,DF,Betis,30-124,1991,17.8,0,11,4,36.4,0.62,0.22,0.00,0.00,18.0,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
51,Rodrigo Battaglia\Rodrigo-Battaglia,ar ARG,MF,Alavés,29-311,1991,27.5,1,17,5,29.4,0.62,0.18,0.06,0.20,15.0,0,0,0,1.2,1.2,0.07,-0.2,-0.2,Matches
52,Jon Bautista\Jon-Bautista,es ESP,FWMF,Real Sociedad,25-320,1995,4.1,0,12,3,25.0,2.92,0.73,0.00,0.00,12.9,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches
53,Fran Beltrán\Fran-Beltran,es ESP,MF,Celta Vigo,22-105,1999,14.6,3,18,7,38.9,1.23,0.48,0.17,0.43,20.3,0,0,0,1.4,1.4,0.08,+1.6,+1.6,Matches
54,Sergio Benito\Sergio-Benito,es ESP,FW,Valladolid,22-057,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
55,Karim Benzema\Karim-Benzema,fr FRA,FW,Real Madrid,33-151,1987,31.2,22,117,49,41.9,3.76,1.57,0.18,0.43,14.9,6,1,1,17.3,16.6,0.14,+4.7,+4.4,Matches
56,Yuri Berchiche\Yuri-Berchiche,es ESP,DF,Athletic Club,31-098,1990,18.7,1,16,6,37.5,0.86,0.32,0.06,0.17,19.0,0,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches
57,Álex Berenguer\Alex-Berenguer,es ESP,MFFW,Athletic Club,25-319,1995,24.3,8,47,14,29.8,1.93,0.58,0.17,0.57,17.0,4,0,0,6.1,6.1,0.13,+1.9,+1.9,Matches
58,Pedro Bigas\Pedro-Bigas,es ESP,DF,Eibar,30-246,1990,16.8,0,10,1,10.0,0.59,0.06,0.00,0.00,12.9,0,0,0,0.9,0.9,0.09,-0.9,-0.9,Matches
59,Blanco\Blanco,es ESP,MFDF,Real Madrid,20-300,2000,2.4,0,2,0,0.0,0.82,0.00,0.00,,29.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
60,Alejandro Blanco\Alejandro-Blanco,es ESP,MF,Valencia,22-154,1998,6.4,1,7,2,28.6,1.09,0.31,0.14,0.50,15.6,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Matches
61,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,25-298,1995,18.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
62,Yann Bodiger\Yann-Bodiger,fr FRA,MF,Cádiz,26-099,1995,2.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
63,Yassine Bounou\Yassine-Bounou,ma MAR,GK,Sevilla,30-044,1991,33.0,1,1,1,100.0,0.03,0.03,1.00,1.00,8.0,0,0,0,0.3,0.3,0.34,+0.7,+0.7,Matches
64,Lucas Boyé\Lucas-Boye,ar ARG,FW,Elche,25-080,1996,28.9,6,54,21,38.9,1.87,0.73,0.11,0.29,16.4,3,0,0,5.0,5.0,0.09,+1.0,+1.0,Matches
65,Martin Braithwaite\Martin-Braithwaite,dk DEN,FW,Barcelona,29-348,1991,12.6,2,23,7,30.4,1.83,0.56,0.09,0.29,11.4,0,0,1,5.0,4.3,0.19,-3.0,-2.3,Matches
66,Darko Brašanac\Darko-Brasanac,rs SRB,MF,Osasuna,29-096,1992,10.1,2,8,4,50.0,0.79,0.40,0.25,0.50,16.1,0,0,0,1.3,1.3,0.16,+0.7,+0.7,Matches
67,Álvaro Bravo\Alvaro-Bravo,es ESP,MF,Granada,23-104,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
68,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Betis,38-036,1983,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
69,Yan Brice Eteki\Yan-Brice-Eteki,cm CMR,MF,Granada,23-266,1997,13.7,0,6,3,50.0,0.44,0.22,0.00,0.00,18.4,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
70,Juan Brunet\Juan-Brunet,ar ARG,MF,Granada,23-115,1998,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
71,Bryan\Bryan,es ESP,FW,Sevilla,20-097,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
72,Bryan\Bryan,es ESP,MFFW,Eibar,20-097,2001,24.7,4,40,15,37.5,1.62,0.61,0.10,0.27,17.2,1,0,0,3.9,3.6,0.09,+0.1,+0.4,Matches
73,Ante Budimir\Ante-Budimir,hr CRO,FW,Osasuna,29-301,1991,17.8,11,47,23,48.9,2.64,1.29,0.23,0.48,11.2,0,0,0,7.1,7.1,0.16,+3.9,+3.9,Matches
74,Esteban Burgos\Esteban-Burgos,ar ARG,DF,Eibar,29-130,1992,12.3,3,3,2,66.7,0.24,0.16,0.33,0.50,18.5,0,2,3,3.3,1.1,0.35,-0.3,-0.1,Matches
75,Burgui\Burgui,es ESP,MF,Alavés,27-202,1993,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
76,Sergio Busquets\Sergio-Busquets,es ESP,MF,Barcelona,32-307,1988,27.3,0,3,1,33.3,0.11,0.04,0.00,0.00,17.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
77,Erick Cabaco\Erick-Cabaco,uy URU,DF,Getafe,26-030,1995,14.7,0,4,0,0.0,0.27,0.00,0.00,,10.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
78,Cala\Cala,es ESP,DF,Cádiz,31-174,1989,25.2,3,14,5,35.7,0.55,0.20,0.21,0.60,12.6,0,0,0,1.4,1.4,0.10,+1.6,+1.6,Matches
