Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
123,Moussa Dembélé\Moussa-Dembele,fr FRA,FWMF,Atlético Madrid,24-311,1996,1.1,0,0,0,0,0,0,0,,0,16,5,31.3,1,10,5,0,0,0,0,0,0,0,0,Matches
124,Ousmane Dembélé\Ousmane-Dembele,fr FRA,FWDF,Barcelona,24-004,1997,18.7,16,9,4,10,2,5,13,38.5,8,260,63,24.2,32,104,124,22,0,0,22,14,30,2,0,Matches
125,Sergiño Dest\Sergino-Dest,us USA,DF,Barcelona,20-197,2000,20.0,28,18,21,4,3,11,23,47.8,12,293,84,28.7,121,93,79,43,5,0,38,14,42,22,0,Matches
126,Deyverson\Deyverson,br BRA,FW,Alavés,30-011,1991,9.7,8,6,4,2,2,4,14,28.6,10,171,50,29.2,15,84,72,18,0,0,18,10,18,13,0,Matches
127,Abdoulay Diaby\Abdoulay-Diaby,ml MLI,MF,Getafe,29-363,1991,0.2,1,1,0,1,0,0,0,,0,2,0,0.0,0,1,1,2,0,0,2,0,1,0,0,Matches
128,Mouctar Diakhaby\Mouctar-Diakhaby,fr FRA,DF,Valencia,24-151,1996,22.1,21,15,14,7,0,10,13,76.9,3,151,52,34.4,91,54,6,48,25,0,23,8,29,125,1,Matches
129,Víctor Díaz\Victor-Diaz,es ESP,DF,Granada,32-341,1988,8.7,18,15,11,5,2,9,19,47.4,10,108,29,26.9,60,39,9,22,8,1,14,15,33,46,0,Matches
130,Papakouli Diop\Papakouli-Diop,sn SEN,MF,Eibar,35-061,1986,25.1,47,35,16,24,7,16,55,29.1,39,333,112,33.6,86,200,47,28,6,0,22,39,86,54,2,Matches
131,Djené\Djene,tg TOG,DF,Getafe,29-139,1991,31.7,62,37,32,27,3,22,34,64.7,12,267,99,37.1,125,127,15,38,12,1,26,52,114,200,1,Matches
132,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,29-115,1992,34.7,1,1,1,0,0,0,3,0.0,3,7,0,0.0,7,0,0,0,0,0,0,0,1,1,1,Matches
133,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,30-195,1990,28.0,0,0,0,0,0,0,2,0.0,2,4,1,25.0,4,0,0,1,0,0,1,0,0,3,1,Matches
